Video,SID,Exclude,Age,Trial,Condition,DropChoice,Point_DropLocation,DropLocation,WhichSpace,Notes,BounceHit,NumberHits
M2U03298,121319_03,,,6,,torus,,dumbbell,,,,
M2U03298,121319_03,,,7,,pentagon,,space,pyramid,,,
M2U03298,121319_03,,,8,,dumbbell,,torus,,,,
M2U03298,121319_03,,,9,,pyramid,,octahedron,,,,
M2U03298,121319_03,,,10,,trig prism,,octahedron,,,,
M2U03298,121319_03,,,11,,octahedron,,dumbbell,,,,
M2U03298,121319_03,,,12,,cone,,pentagon,,,,
M2U03299,121319_04,,,1,,cone,,space,bowl,,dumbbell,
M2U03299,121319_04,,,2,,pipe,,dumbbell,,,,
M2U03299,121319_04,,,3,,torus,,pipe,,,,
M2U03299,121319_04,,,4,,trig prism,,cone,,,,
M2U03299,121319_04,,,5,,dumbbell,,torus,,,,
M2U03299,121319_04,,,6,,pentagon,,space,pyramid,,,
M2U03299,121319_04,,,7,,pyramid,,space,dumbbell,,,
M2U03299,121319_04,,,8,,torus,,space,pentagon,,,
M2U03299,121319_04,,,9,,bowl,,pipe,,,,
M2U03299,121319_04,,,10,,dumbbell,,octahedron,,,,
M2U03299,121319_04,,,11,,cone,,torus,,,,
M2U03299,121319_04,,,12,,octahedron,,space,trig prism,,,
M2U03300,121319_05,,,1,,cone,,space,pyramid,,trig prism,
M2U03300,121319_05,,,2,,pipe,,pyramid,,,,
M2U03300,121319_05,,,3,,bowl,,space,octahedron,,pipe,
M2U03300,121319_05,,,4,,dumbbell,,space,octahedron,,,
M2U03300,121319_05,,,5,,torus,,bowl,,,dumbbell,2
M2U03300,121319_05,,,6,,trig prism,,space,bowl,,,
M2U03300,121319_05,,,7,,bowl,,space,torus,,,
M2U03300,121319_05,,,8,,dumbbell,,space,trig prism,,pyramid,
M2U03300,121319_05,,,9,,pyramid,,pipe,,,,
M2U03300,121319_05,,,10,,torus,,octahedron,,,,
M2U03300,121319_05,,,11,,pipe,,dumbbell,,,,
M2U03300,121319_05,,,12,,cone,,pentagon,,,dumbbell,2
M2U03301,121319_06,,,1,,pyramid,,pentagon,,,,
M2U03301,121319_06,,,2,,torus,,pentagon,,,,
M2U03301,121319_06,,,3,,cone,,space,torus,,,
M2U03301,121319_06,,,4,,octahedron,,boundary,torus,,,
M2U03301,121319_06,,,5,,dumbbell,,space,pipe,,,
M2U03301,121319_06,,,6,,bowl,,space,octahedron,,,
M2U03301,121319_06,,,7,,pipe,,pentagon,,,,
M2U03301,121319_06,,,8,,octahedron,,space,pentagon,,,
M2U03301,121319_06,,,9,,pentagon,,space,pyramid,,pyramid,
M2U03301,121319_06,,,10,,dumbbell,,space,torus,,,
M2U03301,121319_06,,,11,,torus,,space,pipe,,,
M2U03301,121319_06,,,12,,trig prism,,space,pipe,,octahedron,
M2U03302,121319_07,,,1,,octahedron,,space,pyramid,,pyramid,
M2U03302,121319_07,,,2,,cone,,torus,,,trig prism,2
M2U03302,121319_07,,,3,,dumbbell,,space,cone,,,
M2U03302,121319_07,,,4,,bowl,,pipe,,,,
M2U03302,121319_07,,,5,,trig prism,,pentagon,,,,
M2U03302,121319_07,,,6,,octahedron,,space,pentagon,,,
M2U03302,121319_07,,,7,,dumbbell,,space,pyramid,,trig prism,
M2U03302,121319_07,,,8,,pentagon,,space,trig prism,,trig prism,
M2U03302,121319_07,,,9,,trig prism,,pipe,,,octahedron,2
M2U03302,121319_07,,,10,,torus,,octahedron,,,,
M2U03302,121319_07,,,11,,octahedron,,dumbbell,,dropped while on knees,,
M2U03302,121319_07,,,12,,cone,,space,pentagon,dropped while on knees,,
M2U00950,121619_01,,,1,,pipe,,space,trig prism,,,
M2U00950,121619_01,,,2,,pipe,,trig prism,,,,
M2U00950,121619_01,,,3,,bowl,,space,cone,,pipe,
M2U00950,121619_01,,,4,,dumbbell,,space,octahedron,,octahedron,
M2U00950,121619_01,,,5,,torus,,space,pentagon,dropped from low,,
M2U00950,121619_01,,,6,,torus,,dumbbell,,,,
M2U00950,121619_01,,,7,,bowl,,trig prism,,,,
M2U00950,121619_01,,,8,,bowl,,torus,,,pyramid,2
M2U00950,121619_01,,,9,,torus,cone,cone,,wants to drop torus in cone like ring,,
M2U00950,121619_01,,,10,,torus,,cone,,tries again to drop torus in cone like ring,,
M2U00950,121619_01,,,11,,cone,,bowl,,,,
M2U00950,121619_01,,,12,,pipe,,space,dumbbell,,,
M2U00951,121619_02,,,1,,pipe,,bowl,,,,
M2U00951,121619_02,,,2,,cone,,space,pentagon,,,
M2U00951,121619_02,,,3,,torus,,space,octahedron,,,
M2U00951,121619_02,,,4,,trig prism,,space,cone,,,
M2U00951,121619_02,,,5,,bowl,,space,torus,,torus,
M2U00951,121619_02,,,6,,pentagon,,space,torus,,,
M2U00951,121619_02,,,7,,pyramid,,dumbbell,,,,
M2U00951,121619_02,,,8,,torus,,space,pentagon,"""that one was like a donut""",pentagon,
M2U00951,121619_02,,,9,,dumbbell,,pipe,,,,
M2U00951,121619_02,,,10,,pentagon,,pipe,,,,
M2U00951,121619_02,,,11,,pipe,,pyramid,,,,
M2U00951,121619_02,,,12,,octahedron,,space,pyramid,,pyramid,
M2U00952,121619_03,,,1,,pipe,,space,trig prism,,,
M2U00952,121619_03,,,2,,cone,,space,trig prism,,,
M2U00952,121619_03,,,3,,bowl,,space,pipe,,cone,
M2U00952,121619_03,,,4,,pentagon,,space,pipe,,,
M2U00952,121619_03,,,5,,torus,,space,bowl,,,
M2U00952,121619_03,,,6,,trig prism,,dumbbell,,,,
M2U00952,121619_03,,,7,,dumbbell,,space,trig prism,,,
M2U00952,121619_03,,,8,,bowl,,space,trig prism,,,
M2U00952,121619_03,,,9,,pyramid,,space,octahedron,,cone,
M2U00952,121619_03,,,10,,trig prism,,space,octahedron,,,
M2U00952,121619_03,,,11,,cone,,bowl,,,,
M2U00952,121619_03,,,12,,octahedron,,space,bowl,,,
M2U00953,121619_04,,,1,,octahedron,,space,dumbbell,,,
M2U00953,121619_04,,,2,,cone,,space,dumbbell,,,
M2U00953,121619_04,,,3,,pyramid,,space,cone,,,
M2U00953,121619_04,,,4,,trig prism,,space,cone,space then cone then pipe,cone,2
M2U00953,121619_04,,,5,,bowl,,pyramid,,,,
M2U00953,121619_04,,,6,,pentagon,,trig prism,,,,
M2U00953,121619_04,,,7,,torus,,space,pentagon,dropped from down low,,
M2U00953,121619_04,,,8,,pyramid,,space,bowl,,bowl,
M2U00953,121619_04,,,9,,torus,,space,dumbbell,,dumbbell,
M2U00953,121619_04,,,10,,bowl,,octahedron,,,,
M2U00953,121619_04,,,11,,dumbbell,,cone,,,,
M2U00953,121619_04,,,12,,cone,,space,torus,,,
M2U00953,121619_04,,,13,,octahedron,,space,pyramid,,trig prism,
M2U00954,121619_05,,,1,,cone,,space,pyramid,,,
M2U00954,121619_05,,,2,,octahedron,,space,pyramid,,torus,
M2U00954,121619_05,,,3,,dumbbell,,space,octahedron,,,
M2U00954,121619_05,,,4,,pentagon,,space,octahedron,,,
M2U00954,121619_05,,,5,,torus,,space,bowl,,bowl,
M2U00954,121619_05,,,6,,trig prism,,space,pentagon,,,
M2U00954,121619_05,,,7,,dumbbell,,pyramid,,,torus,2
M2U00954,121619_05,,,8,,bowl,,torus,,break before drop (same trial pair),,
M2U00954,121619_05,,,9,,torus,,space,pipe,,,
M2U00954,121619_05,,,10,,pyramid,,cone,,,,
M2U00954,121619_05,,,11,,cone,,pentagon,,,,
M2U00954,121619_05,,,12,,octahedron,,space,bowl,,pentagon,
M2U00955,121619_06,,,1,,cone,,space,dumbbell,,,
M2U00955,121619_06,,,2,,pipe,,space,dumbbell,,,
M2U00955,121619_06,,,3,,trig prism,,octahedron,,,,
M2U00955,121619_06,,,4,,pyramid,,space,cone,,,
M2U00955,121619_06,,,5,,dumbbell,,pyramid,,,,
M2U00955,121619_06,,,6,,pentagon,,space,pyramid,,torus,
M2U00955,121619_06,,,7,,torus,,space,pentagon,,bowl,
M2U00955,121619_06,,,8,,pyramid,,space,pentagon,,bowl,
M2U00955,121619_06,,,9,,dumbbell,,space,cone,,,
M2U00955,121619_06,,,10,,bowl,,space,cone,,,
M2U00955,121619_06,,,11,,octahedron,,space,trig prism,,,
M2U00955,121619_06,,,12,,pipe,,space,pyramid,,,
M2U00956,121619_07,,,1,,pipe,,space,trig prism,,,
M2U00956,121619_07,,,2,,cone,,space,trig prism,,,
M2U00956,121619_07,,,3,,bowl,,pipe,,,octahedron,2
M2U00956,121619_07,,,4,,dumbbell,,pipe,,,octahedron,2
M2U00956,121619_07,,,5,,pyramid,,space,bowl,,,
M2U00956,121619_07,,,6,,torus,,bowl,,,dumbbell,2
M2U00956,121619_07,,,7,,dumbbell,,space,torus,,trig prism,
M2U00956,121619_07,,,8,,pentagon,,space,torus,,,
M2U00956,121619_07,,,9,,pyramid,,space,octahedron,,,
M2U00956,121619_07,,,10,,trig prism,,space,octahedron,,octahedron,
M2U00956,121619_07,,,11,,cone,,pentagon,,,,
M2U00956,121619_07,,,12,,pipe,,pentagon,,,bowl,2
M2U00957,121619_08,Y,,1,,pipe,,space,center,placed,,
M2U00957,121619_08,,,2,,cone,,space,octahedron,,,
M2U00957,121619_08,,,3,,torus,,space,cone,,,
M2U00957,121619_08,Y,,4,,trig prism,,space,cone,placed,,
M2U00957,121619_08,,,5,,bowl,,space,torus,,,
M2U00957,121619_08,,,6,,dumbbell,,space,trig prism,,trig prism,
M2U00957,121619_08,,,7,,pyramid,,space,octahedron,,,
M2U00957,121619_08,,,8,,torus,,space,line between dumbbell and octahedron,dropped from low,,
M2U00957,121619_08,,,9,,dumbbell,,space,cone,,,
M2U00957,121619_08,,,10,,pyramid,,space,cone,,cone,
M2U00957,121619_08,,,11,,pentagon,,space,pyramid,"""this one looks like a diamond ball""",pyramid,
M2U00957,121619_08,,,12,,cone,,space,pyramid,"""triangle next, this one looks like a castle"" - more examples given for previous drops",trig prism,
M2U00958,121619_09,,,1,,octahedron,,pyramid,,,,
M2U00958,121619_09,,,2,,pipe,,torus,,,,
M2U00958,121619_09,,,3,,bowl,,pipe,,,,
M2U00958,121619_09,,,4,,dumbbell,,space,octahedron,,,
M2U00958,121619_09,Y,,5,,torus,,bowl,,flips the bowl target before drop,,
M2U00958,121619_09,,,6,,pyramid,,space,dumbbell,"this trial same set as above, still touched bowl target",,
M2U00958,121619_09,,,7,,dumbbell,,space,pyramid,,,
M2U00958,121619_09,,,8,,pentagon,,space,torus,,,
M2U00958,121619_09,,,9,,torus,,cone,,torus fits right on top of cone like a ring,,
M2U00958,121619_09,,,10,,pyramid,,octahedron,,,,
M2U00958,121619_09,,,11,,octahedron,,space,pentagon,,pentagon,
M2U00958,121619_09,,,12,,octahedron,,space,dumbbell,,dumbbell,
M2U00959,121619_10,,,1,,pipe,,space,trig prism,,torus,
M2U00959,121619_10,,,2,,cone,,pyramid,,"""that was weird""",,
M2U00959,121619_10,,,3,,dumbbell,,cone,,,,
M2U00959,121619_10,,,4,,dumbbell,,space,cone,,,
M2U00959,121619_10,,,5,,bowl,,trig prism,,,,
M2U00959,121619_10,,,6,,pentagon,,boundary,pyramid,,pyramid,
M2U00959,121619_10,,,7,,torus,,dumbbell,,,,
M2U00959,121619_10,,,8,,trig prism,,space,dumbbell,,pentagon,
M2U00959,121619_10,Y,,9,,dumbbell,,boundary outside,cone,,,
